rank,state
7.0%,Pennsylvania
Pac,Illinois
48,Ohio
"733,391",Georgia
47,North Carolina
"710,231",Michigan
48,New Jersey
"626,932",Virginia
36,Washington
3.3%,Arizona
Pac,Tennessee
2,Massachusetts
"53,669,422",Indiana
2,Missouri
"49,880,102",Maryland
3,Wisconsin
"45,025,637",Colorado
4,Minnesota
7.6%,South Carolina
West,Alabama
2,Louisiana
"78,588,572",Kentucky
2,Oregon
"71,945,553",Oklahoma
3,Connecticut
"63,197,932",Utah
2,Puerto Rico
9.2%,Iowa
USA,Nevada
–,Arkansas
"331,449,281",Mississippi
–,Kansas
"308,745,538",New Mexico
–,Nebraska
"281,421,906",Idaho
–,West Virginia
7.4%,Hawaii
NAmer,New Hampshire
1,Maine
"3,285,874",Montana
1,Rhode Island
"3,725,789",Delaware
1,South Dakota
"3,808,610",North Dakota
3,Alaska
−11.8%,Vermont
I.A.,Wyoming
2,Guam
"153,836",U.S. Virgin Islands
2,American Samoa
"159,358",California
2,Texas
"154,805",Florida
1,New York
−3.5%,Pennsylvania
I.A.,Illinois
3,Ohio
"87,146",Georgia
3,North Carolina
"106,405",Michigan
3,New Jersey
"108,612",Virginia
2,Washington
−18.1%,Arizona
I.A.,Tennessee
4,Massachusetts
"49,710",Indiana
4,Missouri
"55,519",Maryland
5,Wisconsin
"57,291",Colorado
4,Minnesota
−7.7%,South Carolina
I.A.,Alabama
5,Louisiana
"47,329",Kentucky
5,Oregon
"53,883",Oklahoma
4,Connecticut
"69,221",Utah
5,Puerto Rico
−14.8%,Iowa
I.A.,Nevada
 ,Arkansas
6,Mississippi
6,Kansas
6,New Mexico
316,Nebraska
6,Idaho
—,West Virginia
I.A.,Hawaii
–,New Hampshire
"3,623,895",Maine
–,Montana
"4,100,954",Rhode Island
–,Delaware
"4,198,855",South Dakota
–,North Dakota
−11.6%,Alaska
USA,Vermont
1,Wyoming
1,Guam
52,U.S. Virgin Islands
2,American Samoa
2,California
38,Texas
3,Florida
3,New York
28,Pennsylvania
4,Illinois
4,Ohio
26,Georgia
5,North Carolina
5,Michigan
17,New Jersey
6,Virginia
6,Washington
17,Arizona
7,Tennessee
7,Massachusetts
15,Indiana
8,Missouri
8,Maryland
14,Wisconsin
9,Colorado
9,Minnesota
14,South Carolina
10,Alabama
10,Louisiana
13,Kentucky
11,Oregon
11,Oklahoma
12,Connecticut
12,Utah
12,Puerto Rico
11,Iowa
13,Nevada
13,Arkansas
10,Mississippi
14,Kansas
14,New Mexico
9,Nebraska
15,Idaho
16,West Virginia
9,Hawaii
16,New Hampshire
15,Maine
9,Montana
17,Rhode Island
17,Delaware
9,South Dakota
18,North Dakota
19,Alaska
8,Vermont
19,Wyoming
18,Guam
8,U.S. Virgin Islands
20,American Samoa
20,California
8,Texas
21,Florida
21,New York
8,Pennsylvania
22,Illinois
22,Ohio
8,Georgia
23,North Carolina
23,Michigan
7,New Jersey
24,Virginia
24,Washington
7,Arizona
25,Tennessee
25,Massachusetts
6,Indiana
26,Missouri
26,Maryland
6,Wisconsin
27,Colorado
27,Minnesota
6,South Carolina
28,Alabama
28,Louisiana
5,Kentucky
29,Oregon
29,Oklahoma
5,Connecticut
30,Utah
31,Puerto Rico
4,Iowa
31,Nevada
30,Arkansas
32,Mississippi
32,Kansas
4,New Mexico
33,Nebraska
33,Idaho
4,West Virginia
34,Hawaii
34,New Hampshire
4,Maine
35,Montana
35,Rhode Island
4,Delaware
36,South Dakota
36,North Dakota
4,Alaska
37,Vermont
37,Wyoming
3,Guam
38,U.S. Virgin Islands
38,American Samoa
3,California
39,Texas
39,Florida
2,New York
40,Pennsylvania
40,Illinois
2,Ohio
41,Georgia
41,North Carolina
2,Michigan
42,New Jersey
42,Virginia
2,Washington
43,Arizona
43,Tennessee
2,Massachusetts
44,Indiana
45,Missouri
2,Maryland
45,Wisconsin
44,Colorado
2,Minnesota
46,South Carolina
46,Alabama
1,Louisiana
47,Kentucky
47,Oregon
1,Oklahoma
48,Connecticut
48,Utah
1,Puerto Rico
49,Iowa
49,Nevada
1,Arkansas
50,Mississippi
50,Kansas
51,New Mexico
51,Nebraska
1,Idaho
52,West Virginia
52,Hawaii
1,New Hampshire
53,Maine
53,Montana
54,Rhode Island
54,Delaware
55,South Dakota
55,North Dakota
56,Alaska
56,Vermont
15,Wyoming
"7,029,917",Guam
14,U.S. Virgin Islands
"6,547,629",American Samoa
13,California
"6,349,097",Texas
21,Florida
7.4%,New York
NEng,Pennsylvania
29,Illinois
"3,605,944",Ohio
29,Georgia
"3,574,097",North Carolina
29,Michigan
"3,405,565",New Jersey
47,Virginia
0.9%,Washington
NEng,Arizona
41,Tennessee
"1,377,529",Massachusetts
42,Indiana
"1,316,470",Missouri
41,Maryland
"1,235,786",Wisconsin
30,Colorado
4.6%,Minnesota
NEng,South Carolina
42,Alabama
"1,362,359",Louisiana
41,Kentucky
"1,328,361",Oregon
40,Oklahoma
"1,274,923",Connecticut
42,Utah
2.6%,Puerto Rico
NEng,Iowa
"1,097,379",Nevada
43,Arkansas
"1,052,567",Mississippi
43,Kansas
"1,048,319",New Mexico
31,Nebraska
4.3%,Idaho
NEng,West Virginia
49,Hawaii
"643,077",New Hampshire
49,Maine
"625,741",Montana
49,Rhode Island
"608,827",Delaware
40,South Dakota
2.8%,North Dakota
NEng,Alaska
9,Vermont
"15,116,205",Wyoming
9,Guam
"14,444,865",U.S. Virgin Islands
9,American Samoa
"13,922,517",California
7,Texas
4.6%,Florida
NEast,New York
4,Pennsylvania
"20,201,249",Illinois
3,Ohio
"19,378,102",Georgia
3,North Carolina
"18,976,457",Michigan
32,New Jersey
4.2%,Virginia
MAtl,Washington
5,Arizona
"13,002,700",Tennessee
6,Massachusetts
"12,702,379",Indiana
6,Missouri
"12,281,054",Maryland
43,Wisconsin
2.4%,Colorado
MAtl,Minnesota
11,South Carolina
"9,288,994",Alabama
11,Louisiana
"8,791,894",Kentucky
9,Oregon
"8,414,350",Oklahoma
25,Connecticut
5.7%,Utah
MAtl,Puerto Rico
4,Iowa
"42,492,943",Nevada
4,Arkansas
"40,872,375",Mississippi
4,Kansas
"39,671,861",New Mexico
8,Nebraska
4.0%,Idaho
NEast,West Virginia
4,Hawaii
"57,609,148",New Hampshire
4,Maine
"55,317,240",Montana
4,Rhode Island
"53,594,378",Delaware
3,South Dakota
4.1%,North Dakota
USA,Alaska
3,Vermont
"21,538,187",Wyoming
4,Guam
"18,801,310",U.S. Virgin Islands
4,American Samoa
"15,982,378",California
8,Texas
14.6%,Florida
SAtl,New York
8,Pennsylvania
"10,711,908",Illinois
9,Ohio
"9,687,653",Georgia
10,North Carolina
"8,186,453",Michigan
12,New Jersey
10.6%,Virginia
SAtl,Washington
9,Arizona
"10,439,388",Tennessee
10,Massachusetts
"9,535,483",Indiana
11,Missouri
"8,049,313",Maryland
15,Wisconsin
9.5%,Colorado
SAtl,Minnesota
12,South Carolina
"8,631,393",Alabama
12,Louisiana
"8,001,024",Kentucky
12,Oregon
"7,078,515",Oklahoma
18,Connecticut
7.9%,Utah
SAtl,Puerto Rico
18,Iowa
"6,177,224",Nevada
19,Arkansas
"5,773,552",Mississippi
19,Kansas
"5,296,486",New Mexico
22,Nebraska
7.0%,Idaho
SAtl,West Virginia
23,Hawaii
"5,118,425",New Hampshire
24,Maine
"4,625,364",Montana
26,Rhode Island
"4,012,012",Delaware
10,South Dakota
10.7%,North Dakota
SAtl,Alaska
39,Vermont
"1,793,716",Wyoming
37,Guam
"1,852,994",U.S. Virgin Islands
37,American Samoa
"1,808,344",California
50,Texas
−3.2%,Florida
SAtl,New York
45,Pennsylvania
"989,948",Illinois
45,Ohio
"897,934",Georgia
45,North Carolina
"783,600",Michigan
13,New Jersey
10.2%,Virginia
SAtl,Washington
–,Arizona
"689,545",Tennessee
–,Massachusetts
"601,723",Indiana
–,Missouri
"572,059",Maryland
–,Wisconsin
14.6%,Colorado
SAtl,Minnesota
1,South Carolina
"66,089,734",Alabama
1,Louisiana
"59,777,037",Kentucky
1,Oregon
"51,769,160",Oklahoma
3,Connecticut
10.6%,Utah
South,Puerto Rico
16,Iowa
"6,910,840",Nevada
17,Arkansas
"6,346,105",Mississippi
16,Kansas
"5,689,283",New Mexico
17,Nebraska
8.9%,Idaho
ESC,West Virginia
24,Hawaii
"5,024,279",New Hampshire
23,Maine
"4,779,736",Montana
23,Rhode Island
"4,447,100",Delaware
27,South Dakota
5.1%,North Dakota
ESC,Alaska
26,Vermont
"4,505,836",Wyoming
26,Guam
"4,339,367",U.S. Virgin Islands
25,American Samoa
"4,041,769",California
33,Texas
3.8%,Florida
ESC,New York
34,Pennsylvania
"2,961,279",Illinois
31,Ohio
"2,967,297",Georgia
31,North Carolina
"2,844,658",Michigan
49,New Jersey
−0.2%,Virginia
ESC,Washington
8,Arizona
"19,402,234",Tennessee
8,Massachusetts
"18,432,505",Indiana
8,Missouri
"17,022,810",Maryland
6,Wisconsin
5.3%,Colorado
South,Minnesota
2,South Carolina
"29,145,505",Alabama
2,Louisiana
"25,145,561",Kentucky
2,Oregon
"20,851,820",Oklahoma
3,Connecticut
15.9%,Utah
WSC,Puerto Rico
25,Iowa
"4,657,757",Nevada
25,Arkansas
"4,533,372",Mississippi
22,Kansas
"4,468,976",New Mexico
41,Nebraska
2.7%,Idaho
WSC,West Virginia
28,Hawaii
"3,959,353",New Hampshire
28,Maine
"3,751,351",Montana
27,Rhode Island
"3,450,654",Delaware
26,South Dakota
5.5%,North Dakota
WSC,Alaska
33,Vermont
"3,011,524",Wyoming
32,Guam
"2,915,918",U.S. Virgin Islands
33,American Samoa
"2,673,400",California
35,Texas
3.3%,Florida
WSC,New York
5,Pennsylvania
"40,774,139",Illinois
5,Ohio
"36,346,202",Georgia
5,North Carolina
"31,444,850",Michigan
2,New Jersey
12.2%,Virginia
South,Washington
1,Arizona
"126,266,107",Tennessee
1,Massachusetts
"114,555,744",Indiana
1,Missouri
"100,236,820",Maryland
1,Wisconsin
10.2%,Colorado
USA,Minnesota
6,South Carolina
"12,812,508",Alabama
5,Louisiana
"12,830,632",Kentucky
5,Oregon
"12,419,293",Oklahoma
48,Connecticut
−0.1%,Utah
ENC,Puerto Rico
7,Iowa
"11,799,448",Nevada
7,Arkansas
"11,536,504",Mississippi
7,Kansas
"11,353,140",New Mexico
45,Nebraska
2.3%,Idaho
ENC,West Virginia
10,Hawaii
"10,077,331",New Hampshire
8,Maine
"9,883,640",Montana
8,Rhode Island
"9,938,444",Delaware
46,South Dakota
2.0%,North Dakota
ENC,Alaska
17,Vermont
"6,785,528",Wyoming
15,Guam
"6,483,802",U.S. Virgin Islands
14,American Samoa
"6,080,485",California
29,Texas
4.7%,Florida
ENC,New York
20,Pennsylvania
"5,893,718",Illinois
20,Ohio
"5,686,986",Georgia
18,North Carolina
"5,363,675",Michigan
34,New Jersey
3.6%,Virginia
ENC,Washington
3,Arizona
"47,368,533",Tennessee
3,Massachusetts
"46,421,564",Indiana
2,Missouri
"45,155,037",Maryland
9,Wisconsin
2.0%,Colorado
MWest,Minnesota
19,South Carolina
"6,154,913",Alabama
18,Louisiana
"5,988,927",Kentucky
17,Oregon
"5,595,211",Oklahoma
39,Connecticut
2.8%,Utah
WNC,Puerto Rico
22,Iowa
"5,706,494",Nevada
21,Arkansas
"5,303,925",Mississippi
21,Kansas
"4,919,479",New Mexico
19,Nebraska
7.6%,Idaho
WNC,West Virginia
31,Hawaii
"3,190,369",New Hampshire
30,Maine
"3,046,355",Montana
30,Rhode Island
"2,926,324",Delaware
28,South Dakota
4.7%,North Dakota
WNC,Alaska
35,Vermont
"2,937,880",Wyoming
33,Guam
"2,853,118",U.S. Virgin Islands
32,American Samoa
"2,688,418",California
37,Texas
3.0%,Florida
WNC,New York
37,Pennsylvania
"1,961,504",Illinois
38,Ohio
"1,826,341",Georgia
38,North Carolina
"1,711,263",Michigan
20,New Jersey
7.4%,Virginia
WNC,Washington
46,Arizona
"886,667",Tennessee
46,Massachusetts
"814,180",Indiana
46,Missouri
"754,844",Maryland
16,Wisconsin
8.9%,Colorado
WNC,Minnesota
47,South Carolina
"779,094",Alabama
48,Louisiana
"672,591",Kentucky
47,Oregon
"642,200",Oklahoma
4,Connecticut
15.8%,Utah
WNC,Puerto Rico
7,Iowa
"21,616,921",Nevada
7,Arkansas
"20,505,437",Mississippi
6,Kansas
"19,237,739",New Mexico
5,Nebraska
5.4%,Idaho
MWest,West Virginia
3,Hawaii
"68,985,454",New Hampshire
3,Maine
"66,927,001",Montana
2,Rhode Island
"64,392,776",Delaware
4,South Dakota
3.1%,North Dakota
USA,Alaska
14,Vermont
"7,151,502",Wyoming
16,Guam
"6,392,017",U.S. Virgin Islands
20,American Samoa
"5,130,632",California
9,Texas
11.9%,Florida
Mtn,New York
21,Pennsylvania
"5,773,714",Illinois
22,Ohio
"5,029,196",Georgia
24,North Carolina
"4,301,261",Michigan
6,New Jersey
14.8%,Virginia
Mtn,Washington
30,Arizona
"3,271,616",Tennessee
34,Massachusetts
"2,763,885",Indiana
34,Missouri
"2,233,169",Maryland
1,Wisconsin
18.4%,Colorado
Mtn,Minnesota
32,South Carolina
"3,104,614",Alabama
35,Louisiana
"2,700,551",Kentucky
35,Oregon
"1,998,257",Oklahoma
5,Connecticut
15.0%,Utah
Mtn,Puerto Rico
36,Iowa
"2,117,522",Nevada
36,Arkansas
"2,059,179",Mississippi
36,Kansas
"1,819,046",New Mexico
38,Nebraska
2.8%,Idaho
Mtn,West Virginia
38,Hawaii
"1,839,106",New Hampshire
39,Maine
"1,567,582",Montana
39,Rhode Island
"1,293,953",Delaware
2,South Dakota
17.3%,North Dakota
Mtn,Alaska
44,Vermont
"1,084,225",Wyoming
44,Guam
"989,415",U.S. Virgin Islands
44,American Samoa
"902,195",California
14,Texas
9.6%,Florida
Mtn,New York
50,Pennsylvania
"576,851",Illinois
50,Ohio
"563,626",Georgia
50,North Carolina
"493,782",Michigan
44,New Jersey
2.3%,Virginia
Mtn,Washington
6,Arizona
"24,919,150",Tennessee
6,Massachusetts
"22,065,451",Indiana
7,Missouri
"18,172,295",Maryland
1,Wisconsin
12.9%,Colorado
West,Minnesota
1,South Carolina
"39,538,223",Alabama
1,Louisiana
"37,253,956",Kentucky
1,Oregon
"33,871,648",Oklahoma
24,Connecticut
6.1%,Utah
Pac,Puerto Rico
13,Iowa
"7,705,281",Nevada
13,Arkansas
"6,724,540",Mississippi
15,Kansas
"5,894,121",New Mexico
7,Nebraska
14.6%,Idaho
Pac,West Virginia
27,Hawaii
"4,237,256",New Hampshire
27,Maine
"3,831,074",Montana
28,Rhode Island
"3,421,399",Delaware
11,South Dakota
10.6%,North Dakota
Pac,Alaska
40,Vermont
"1,455,271",Wyoming
40,Guam
"1,360,301",U.S. Virgin Islands
42,American Samoa
"1,211,537",California
23,Texas
7.0%,Florida
Pac,New York
48,Pennsylvania
"733,391",Illinois
47,Ohio
"710,231",Georgia
48,North Carolina
"626,932",Michigan
36,New Jersey
3.3%,Virginia
Pac,Washington
2,Arizona
"53,669,422",Tennessee
2,Massachusetts
"49,880,102",Indiana
3,Missouri
"45,025,637",Maryland
4,Wisconsin
7.6%,Colorado
West,Minnesota
2,South Carolina
"78,588,572",Alabama
2,Louisiana
"71,945,553",Kentucky
3,Oregon
"63,197,932",Oklahoma
2,Connecticut
9.2%,Utah
USA,Puerto Rico
–,Iowa
"331,449,281",Nevada
–,Arkansas
"308,745,538",Mississippi
–,Kansas
"281,421,906",New Mexico
–,Nebraska
7.4%,Idaho
NAmer,West Virginia
1,Hawaii
"3,285,874",New Hampshire
1,Maine
"3,725,789",Montana
1,Rhode Island
"3,808,610",Delaware
3,South Dakota
−11.8%,North Dakota
I.A.,Alaska
2,Vermont
"153,836",Wyoming
2,Guam
"159,358",U.S. Virgin Islands
2,American Samoa
"154,805",California
1,Texas
−3.5%,Florida
I.A.,New York
3,Pennsylvania
"87,146",Illinois
3,Ohio
"106,405",Georgia
3,North Carolina
"108,612",Michigan
2,New Jersey
−18.1%,Virginia
I.A.,Washington
4,Arizona
"49,710",Tennessee
4,Massachusetts
"55,519",Indiana
5,Missouri
"57,291",Maryland
4,Wisconsin
−7.7%,Colorado
I.A.,Minnesota
5,South Carolina
"47,329",Alabama
5,Louisiana
"53,883",Kentucky
4,Oregon
"69,221",Oklahoma
5,Connecticut
−14.8%,Utah
I.A.,Puerto Rico
 ,Iowa
6,Nevada
6,Arkansas
6,Mississippi
316,Kansas
6,New Mexico
—,Nebraska
I.A.,Idaho
–,West Virginia
"3,623,895",Hawaii
–,New Hampshire
"4,100,954",Maine
–,Montana
"4,198,855",Rhode Island
–,Delaware
−11.6%,South Dakota
USA,North Dakota
1,Alaska
1,Vermont
52,Wyoming
2,Guam
2,U.S. Virgin Islands
38,American Samoa
3,California
3,Texas
28,Florida
4,New York
4,Pennsylvania
26,Illinois
5,Ohio
5,Georgia
17,North Carolina
6,Michigan
6,New Jersey
17,Virginia
7,Washington
7,Arizona
15,Tennessee
8,Massachusetts
8,Indiana
14,Missouri
9,Maryland
9,Wisconsin
14,Colorado
10,Minnesota
10,South Carolina
13,Alabama
11,Louisiana
11,Kentucky
12,Oregon
12,Oklahoma
12,Connecticut
11,Utah
13,Puerto Rico
13,Iowa
10,Nevada
14,Arkansas
14,Mississippi
9,Kansas
15,New Mexico
16,Nebraska
9,Idaho
16,West Virginia
15,Hawaii
9,New Hampshire
17,Maine
17,Montana
9,Rhode Island
18,Delaware
19,South Dakota
8,North Dakota
19,Alaska
18,Vermont
8,Wyoming
20,Guam
20,U.S. Virgin Islands
8,American Samoa
21,California
21,Texas
8,Florida
22,New York
22,Pennsylvania
8,Illinois
23,Ohio
23,Georgia
7,North Carolina
24,Michigan
24,New Jersey
7,Virginia
25,Washington
25,Arizona
6,Tennessee
26,Massachusetts
26,Indiana
6,Missouri
27,Maryland
27,Wisconsin
6,Colorado
28,Minnesota
28,South Carolina
5,Alabama
29,Louisiana
29,Kentucky
5,Oregon
30,Oklahoma
31,Connecticut
4,Utah
31,Puerto Rico
30,Iowa
32,Nevada
32,Arkansas
4,Mississippi
33,Kansas
33,New Mexico
4,Nebraska
34,Idaho
34,West Virginia
4,Hawaii
35,New Hampshire
35,Maine
4,Montana
36,Rhode Island
36,Delaware
4,South Dakota
37,North Dakota
37,Alaska
3,Vermont
38,Wyoming
38,Guam
3,U.S. Virgin Islands
39,American Samoa
39,California
2,Texas
40,Florida
40,New York
2,Pennsylvania
41,Illinois
41,Ohio
2,Georgia
42,North Carolina
42,Michigan
2,New Jersey
43,Virginia
43,Washington
2,Arizona
44,Tennessee
45,Massachusetts
2,Indiana
45,Missouri
44,Maryland
2,Wisconsin
46,Colorado
46,Minnesota
1,South Carolina
47,Alabama
47,Louisiana
1,Kentucky
48,Oregon
48,Oklahoma
1,Connecticut
49,Utah
49,Puerto Rico
1,Iowa
50,Nevada
50,Arkansas
51,Mississippi
51,Kansas
1,New Mexico
52,Nebraska
52,Idaho
1,West Virginia
53,Hawaii
53,New Hampshire
54,Maine
54,Montana
55,Rhode Island
55,Delaware
56,South Dakota
56,North Dakota
15,Alaska
"7,029,917",Vermont
14,Wyoming
"6,547,629",Guam
13,U.S. Virgin Islands
"6,349,097",American Samoa
21,California
7.4%,Texas
NEng,Florida
29,New York
"3,605,944",Pennsylvania
29,Illinois
"3,574,097",Ohio
29,Georgia
"3,405,565",North Carolina
47,Michigan
0.9%,New Jersey
NEng,Virginia
41,Washington
"1,377,529",Arizona
42,Tennessee
"1,316,470",Massachusetts
41,Indiana
"1,235,786",Missouri
30,Maryland
4.6%,Wisconsin
NEng,Colorado
42,Minnesota
"1,362,359",South Carolina
41,Alabama
"1,328,361",Louisiana
40,Kentucky
"1,274,923",Oregon
42,Oklahoma
2.6%,Connecticut
NEng,Utah
"1,097,379",Puerto Rico
43,Iowa
"1,052,567",Nevada
43,Arkansas
"1,048,319",Mississippi
31,Kansas
4.3%,New Mexico
NEng,Nebraska
49,Idaho
"643,077",West Virginia
49,Hawaii
"625,741",New Hampshire
49,Maine
"608,827",Montana
40,Rhode Island
2.8%,Delaware
NEng,South Dakota
9,North Dakota
"15,116,205",Alaska
9,Vermont
"14,444,865",Wyoming
9,Guam
"13,922,517",U.S. Virgin Islands
7,American Samoa
4.6%,California
NEast,Texas
4,Florida
"20,201,249",New York
3,Pennsylvania
"19,378,102",Illinois
3,Ohio
"18,976,457",Georgia
32,North Carolina
4.2%,Michigan
MAtl,New Jersey
5,Virginia
"13,002,700",Washington
6,Arizona
"12,702,379",Tennessee
6,Massachusetts
"12,281,054",Indiana
43,Missouri
2.4%,Maryland
MAtl,Wisconsin
11,Colorado
"9,288,994",Minnesota
11,South Carolina
"8,791,894",Alabama
9,Louisiana
"8,414,350",Kentucky
25,Oregon
5.7%,Oklahoma
MAtl,Connecticut
4,Utah
"42,492,943",Puerto Rico
4,Iowa
"40,872,375",Nevada
4,Arkansas
"39,671,861",Mississippi
8,Kansas
4.0%,New Mexico
NEast,Nebraska
4,Idaho
"57,609,148",West Virginia
4,Hawaii
"55,317,240",New Hampshire
4,Maine
"53,594,378",Montana
3,Rhode Island
4.1%,Delaware
USA,South Dakota
3,North Dakota
"21,538,187",Alaska
4,Vermont
"18,801,310",Wyoming
4,Guam
"15,982,378",U.S. Virgin Islands
8,American Samoa
14.6%,California
SAtl,Texas
8,Florida
"10,711,908",New York
9,Pennsylvania
"9,687,653",Illinois
10,Ohio
"8,186,453",Georgia
12,North Carolina
10.6%,Michigan
SAtl,New Jersey
9,Virginia
"10,439,388",Washington
10,Arizona
"9,535,483",Tennessee
11,Massachusetts
"8,049,313",Indiana
15,Missouri
9.5%,Maryland
SAtl,Wisconsin
12,Colorado
"8,631,393",Minnesota
12,South Carolina
"8,001,024",Alabama
12,Louisiana
"7,078,515",Kentucky
18,Oregon
7.9%,Oklahoma
SAtl,Connecticut
18,Utah
"6,177,224",Puerto Rico
19,Iowa
"5,773,552",Nevada
19,Arkansas
"5,296,486",Mississippi
22,Kansas
7.0%,New Mexico
SAtl,Nebraska
23,Idaho
"5,118,425",West Virginia
24,Hawaii
"4,625,364",New Hampshire
26,Maine
"4,012,012",Montana
10,Rhode Island
10.7%,Delaware
SAtl,South Dakota
39,North Dakota
"1,793,716",Alaska
37,Vermont
"1,852,994",Wyoming
37,Guam
"1,808,344",U.S. Virgin Islands
50,American Samoa
−3.2%,California
SAtl,Texas
45,Florida
"989,948",New York
45,Pennsylvania
"897,934",Illinois
45,Ohio
"783,600",Georgia
13,North Carolina
10.2%,Michigan
SAtl,New Jersey
–,Virginia
"689,545",Washington
–,Arizona
"601,723",Tennessee
–,Massachusetts
"572,059",Indiana
–,Missouri
14.6%,Maryland
SAtl,Wisconsin
1,Colorado
"66,089,734",Minnesota
1,South Carolina
"59,777,037",Alabama
1,Louisiana
"51,769,160",Kentucky
3,Oregon
10.6%,Oklahoma
South,Connecticut
16,Utah
"6,910,840",Puerto Rico
17,Iowa
"6,346,105",Nevada
16,Arkansas
"5,689,283",Mississippi
17,Kansas
8.9%,New Mexico
ESC,Nebraska
24,Idaho
"5,024,279",West Virginia
23,Hawaii
"4,779,736",New Hampshire
23,Maine
"4,447,100",Montana
27,Rhode Island
5.1%,Delaware
ESC,South Dakota
26,North Dakota
"4,505,836",Alaska
26,Vermont
"4,339,367",Wyoming
25,Guam
"4,041,769",U.S. Virgin Islands
33,American Samoa
3.8%,California
ESC,Texas
34,Florida
"2,961,279",New York
31,Pennsylvania
"2,967,297",Illinois
31,Ohio
"2,844,658",Georgia
49,North Carolina
−0.2%,Michigan
ESC,New Jersey
8,Virginia
"19,402,234",Washington
8,Arizona
"18,432,505",Tennessee
8,Massachusetts
"17,022,810",Indiana
6,Missouri
5.3%,Maryland
South,Wisconsin
2,Colorado
"29,145,505",Minnesota
2,South Carolina
"25,145,561",Alabama
2,Louisiana
"20,851,820",Kentucky
3,Oregon
15.9%,Oklahoma
WSC,Connecticut
25,Utah
"4,657,757",Puerto Rico
25,Iowa
"4,533,372",Nevada
22,Arkansas
"4,468,976",Mississippi
41,Kansas
2.7%,New Mexico
WSC,Nebraska
28,Idaho
"3,959,353",West Virginia
28,Hawaii
"3,751,351",New Hampshire
27,Maine
"3,450,654",Montana
26,Rhode Island
5.5%,Delaware
WSC,South Dakota
33,North Dakota
"3,011,524",Alaska
32,Vermont
"2,915,918",Wyoming
33,Guam
"2,673,400",U.S. Virgin Islands
35,American Samoa
3.3%,California
WSC,Texas
5,Florida
"40,774,139",New York
5,Pennsylvania
"36,346,202",Illinois
5,Ohio
"31,444,850",Georgia
2,North Carolina
12.2%,Michigan
South,New Jersey
1,Virginia
"126,266,107",Washington
1,Arizona
"114,555,744",Tennessee
1,Massachusetts
"100,236,820",Indiana
1,Missouri
10.2%,Maryland
USA,Wisconsin
6,Colorado
"12,812,508",Minnesota
5,South Carolina
"12,830,632",Alabama
5,Louisiana
"12,419,293",Kentucky
48,Oregon
−0.1%,Oklahoma
ENC,Connecticut
7,Utah
"11,799,448",Puerto Rico
7,Iowa
"11,536,504",Nevada
7,Arkansas
"11,353,140",Mississippi
45,Kansas
2.3%,New Mexico
ENC,Nebraska
10,Idaho
"10,077,331",West Virginia
8,Hawaii
"9,883,640",New Hampshire
8,Maine
"9,938,444",Montana
46,Rhode Island
2.0%,Delaware
ENC,South Dakota
17,North Dakota
"6,785,528",Alaska
15,Vermont
"6,483,802",Wyoming
14,Guam
"6,080,485",U.S. Virgin Islands
29,American Samoa
4.7%,California
ENC,Texas
20,Florida
"5,893,718",New York
20,Pennsylvania
"5,686,986",Illinois
18,Ohio
"5,363,675",Georgia
34,North Carolina
3.6%,Michigan
ENC,New Jersey
3,Virginia
"47,368,533",Washington
3,Arizona
"46,421,564",Tennessee
2,Massachusetts
"45,155,037",Indiana
9,Missouri
2.0%,Maryland
MWest,Wisconsin
19,Colorado
"6,154,913",Minnesota
18,South Carolina
"5,988,927",Alabama
17,Louisiana
"5,595,211",Kentucky
39,Oregon
2.8%,Oklahoma
WNC,Connecticut
22,Utah
"5,706,494",Puerto Rico
21,Iowa
"5,303,925",Nevada
21,Arkansas
"4,919,479",Mississippi
19,Kansas
7.6%,New Mexico
WNC,Nebraska
31,Idaho
"3,190,369",West Virginia
30,Hawaii
"3,046,355",New Hampshire
30,Maine
"2,926,324",Montana
28,Rhode Island
4.7%,Delaware
WNC,South Dakota
35,North Dakota
"2,937,880",Alaska
33,Vermont
"2,853,118",Wyoming
32,Guam
"2,688,418",U.S. Virgin Islands
37,American Samoa
3.0%,California
WNC,Texas
37,Florida
"1,961,504",New York
38,Pennsylvania
"1,826,341",Illinois
38,Ohio
"1,711,263",Georgia
20,North Carolina
7.4%,Michigan
WNC,New Jersey
46,Virginia
"886,667",Washington
46,Arizona
"814,180",Tennessee
46,Massachusetts
"754,844",Indiana
16,Missouri
8.9%,Maryland
WNC,Wisconsin
47,Colorado
"779,094",Minnesota
48,South Carolina
"672,591",Alabama
47,Louisiana
"642,200",Kentucky
4,Oregon
15.8%,Oklahoma
WNC,Connecticut
7,Utah
"21,616,921",Puerto Rico
7,Iowa
"20,505,437",Nevada
6,Arkansas
"19,237,739",Mississippi
5,Kansas
5.4%,New Mexico
MWest,Nebraska
3,Idaho
"68,985,454",West Virginia
3,Hawaii
"66,927,001",New Hampshire
2,Maine
"64,392,776",Montana
4,Rhode Island
3.1%,Delaware
USA,South Dakota
14,North Dakota
"7,151,502",Alaska
16,Vermont
"6,392,017",Wyoming
20,Guam
"5,130,632",U.S. Virgin Islands
9,American Samoa
11.9%,California
Mtn,Texas
21,Florida
"5,773,714",New York
22,Pennsylvania
"5,029,196",Illinois
24,Ohio
"4,301,261",Georgia
6,North Carolina
14.8%,Michigan
Mtn,New Jersey
